题目ID,问卷部分,题目文本,题型,显示逻辑
CONSENT,知情同意,是否同意研究收集并按项目需要使用您的个人信息；涉及药品不良事件时，相关患者信息可能披露给客户公司药品不良反应监管部门并依法上报。,single,
S1,甄别问卷,您和同住的家人有没有在以下行业工作的？,single,
S2,甄别问卷,请问您所在的城市线级是？,single,
S3,甄别问卷,请问您的性别是？,single,
S4,甄别问卷,请问您的年龄是多少周岁？并按规则归入年龄段。,numeric_with_auto_category,
S5,甄别问卷,请问您的学历是？,single,
S5A,甄别问卷,请问您家庭年收入为多少？请将所有家庭成员的收入都计算在内。,single,
S6,甄别问卷,请问您的身高为多少厘米？当前体重为多少公斤？腰围为多少厘米？,numeric_group,
S7,甄别问卷,根据S6自动计算当前BMI，并归入BMI分类。,computed_single,
S8,甄别问卷,请问您有以下哪些合并症/基础病或指标异常的情况？,multi,
S9,甄别问卷,请问您目前代谢相关脂肪性肝病的分型是什么？,single,仅S8=1时询问。
S10,甄别问卷,请问您既往经历过以下哪些减重方式？,multi,
S11,甄别问卷,请问当您的身体出现异常时，您是否会积极就医，以维持健康的状态？,single,
A1,A 减重旅程,请问您尝试减重总计多长时间了（从初次采取减重措施至今时长）？,numeric_group,
A2,A 减重旅程,以下哪个选项最能描述您对于体重问题的看法？,single,
A3,A 减重旅程,在您的减重经历中，您决心开始采取减重措施的驱动因素有哪些？,multi,
A3a,A 减重旅程,在A3勾选的驱动因素中，选出最重要的3项并排序。,rank,仅对A3已选项排序。
A4,A 减重旅程,请问您的减重目标有哪些？,multi,
A4a,A 减重旅程,在A4勾选的减重目标中，选出最重要的3项并排序。,rank,仅对A4已选项排序。
A5,A 减重旅程,请问您的目标体重是多少kg？,numeric,
A5a,A 减重旅程,请问您希望达到目标体重的时长为多少个月？,numeric,
A6,A 减重旅程,A6 尝试次数，按非西医减重措施1-11顺序导出，未经历该措施填0。,matrix_numeric,仅S10包含1-11任一选项时询问；只出示S10已选的1-11项。
A6a,A 减重旅程,A6a 单次平均坚持时长，按非西医减重措施1-11顺序导出；对应A6为0时填0。,matrix_numeric,仅S10包含1-11任一选项时询问；只出示S10已选的1-11项。
A6b,A 减重旅程,A6b 月均花费，按非西医减重措施1-11顺序导出；对应A6为0时填0。,matrix_numeric,仅S10包含1-11任一选项时询问；只出示S10已选的1-11项。
A8,A 减重旅程,请您对这些非西医减重措施的减重效果满意度进行评价。,matrix_rating_1_7,仅出示S10已选选项所属的大类。
A9,A 减重旅程,请问您是否因为肥胖或肥胖相关合并症到医院就诊过？,multi,
A10,A 减重旅程,请问您未曾前往医院寻求减重方案的原因有哪些？,multi,仅A9不包含1时询问。
A11,A 减重旅程,为了寻求减重治疗方案到院就诊时，最初前往和实际接受减重治疗是否在同一科室？,single,仅A9包含1时询问。
A12,A 减重旅程,请问您在哪个科室首诊并接受了减重治疗？,single,仅A11=1时询问。
A13,A 减重旅程,您最初前往A12所选科室寻求减重治疗方案，最主要的原因是什么？,single,仅A11=1时询问。
A14,A 减重旅程,A14 首诊科室。,dual_single,仅A11=2时询问。
A15,A 减重旅程,A15 接受减重治疗科室。,dual_single,仅A11=2时询问。
A16,A 减重旅程,您最初前往A14所选科室寻求减重治疗方案，最主要的原因是什么？,single,仅A11=2时询问。
A17,A 减重旅程,从A14首诊科室更换到A15治疗科室寻求减重治疗方案，最主要的原因是什么？,single,仅A11=2时询问。
A18,A 减重旅程,曾因为哪些肥胖相关合并症/指标异常到院就诊？前往哪个科室？医生是否建议体重管理？,matrix,仅A9包含2时询问；只出示S8已选合并症/指标异常。
